uid,ra_mean,dec_mean,Teff_mean,logg_mean,Fe_H_mean,para1_mean,para2_mean,para3_mean,ra,dec,cluster_name,Separation
G15270363301276,259.3425478,43.0805136,4734.0,1.5,-2.390000104904175,-0.15948325,1.8910967,1.165825,259.342506,43.080515,NGC_6341_M_92,0.1100252765426179
G15270367567082,259.304399,43.155932,4879.0,1.9800000190734863,-1.9299999475479128,-0.16974662,1.8432137,1.1583602,259.304378,43.15594,NGC_6341_M_92,0.06221689313873003
G15270367873886,259.311133,43.106882,4799.0,1.75,-2.359999895095825,-0.18268184,1.8301069,1.2011795,259.311111,43.106874,NGC_6341_M_92,0.06459771524116996
G15270369514153,259.28374,43.171654,4817.0,1.4700000286102295,-2.569999933242798,-0.17411005,1.8628128,1.1828002,259.283706,43.171656,NGC_6341_M_92,0.08955709399983819
L15270360939260,259.142831,43.126762,4928.0,2.0,-1.7999999523162842,-0.18027323,1.8080962,1.1683631,259.142802,43.12675,NGC_6341_M_92,0.08759002677452975
L15270370300527,259.25411,43.121619,4774.0,1.8799999952316284,-2.359999895095825,-0.18382275,1.8277547,1.2035416,259.254061,43.121625,NGC_6341_M_92,0.13055437151955615
L15270370306939,259.253622,43.129993,4700.0,1.3300000429153442,-2.450000047683716,-0.16419853,1.8856455,1.1804818,259.253664,43.129878,NGC_6341_M_92,0.4284534511222696
G12094819291364,270.955538,-0.284989,4520.0,1.1200000047683716,-1.7999999523162842,-0.1955514,1.7638575,1.1711205,270.955505,-0.285,NGC_6535,0.12522480112438134
G13819928701483,308.5909855,7.365507,6172.0,3.920000076293945,-1.4900000095367432,-0.18726231,1.8498036,1.1029804,308.590985,7.365506,NGC_6934,0.004018301992113428
L13819927720973,308.5921224,7.4403764,6194.0,4.03000020980835,-1.8899999856948853,-0.16668412,1.9410462,1.0701865,308.592122,7.440376,NGC_6934,0.0020279121342711816
G14091890684126,322.55017,12.073014,4908.0,2.0999999046325684,-2.609999895095825,-0.15820812,1.9097313,1.1782991,322.5501,12.072994,NGC_7078_M_15,0.25672921622632383
G14091891201003,322.51546,12.130178,6660.8,3.95,-2.16,-0.17075509,1.9470557,1.0436945,322.515453,12.130175,NGC_7078_M_15,0.026900541172250467
G14091895080550,322.33742,12.222561,5023.0,2.140000104904175,-2.450000047683716,-0.16103497,1.9017549,1.1703544,322.337361,12.22255,NGC_7078_M_15,0.21132884115524994
G14091903421669,322.3989,12.153991,6058.0,3.180000066757202,-2.299999952316284,-0.16616434,1.9382467,1.1008526,322.398923,12.153964,NGC_7078_M_15,0.1264902432717187
G14091903754165,322.43268,12.153687,6808.0,4.809999942779541,-1.5499999523162842,-0.18188156,2.0459435,1.0948033,322.432678,12.153681,NGC_7078_M_15,0.022717882855693705
G14091903835278,322.42231,12.153945,6462.0,3.5899999141693115,-2.380000114440918,-0.15076111,2.0191736,1.0870253,322.422322,12.15392,NGC_7078_M_15,0.09941587359221922
G14091904247813,322.45744,12.112273,5486.0,3.3399999141693115,-2.390000104904175,-0.16047339,1.9263883,1.1400377,322.45742,12.112211,NGC_7078_M_15,0.2340384607153335
G14092022674398,322.6838703,12.1896153,4731.0,1.8799999952316284,-2.470000028610229,-0.17501293,1.8606879,1.1948206,322.683885,12.189593,NGC_7078_M_15,0.09550156145711212
G14092024171327,322.61175,12.117753,4827.0,1.6200000047683716,-2.680000066757202,-0.16456334,1.8862641,1.1909648,322.611683,12.117739,NGC_7078_M_15,0.24115118708606506
G14092026254722,322.63546,12.131593,4942.0,1.8600000143051147,-2.509999990463257,-0.160432,1.9011436,1.1848617,322.635393,12.131577,NGC_7078_M_15,0.24274621304902522
G14147774842993,322.623626,12.336384,4642.0,1.659999966621399,-2.430000066757202,-0.17589992,1.844369,1.2090396,322.623631,12.336366,NGC_7078_M_15,0.06714350678664892
G14147776315384,322.49874,12.259613,6368.0,3.609999895095825,-2.240000009536743,-0.14005537,2.0195584,1.0497038,322.498735,12.259591,NGC_7078_M_15,0.08112971835031418
G14147777023560,322.57968,12.316442,5927.0,4.119999885559082,-2.390000104904175,-0.15374929,1.9608188,1.1052274,322.579674,12.316425,NGC_7078_M_15,0.06473616342404144
L14091889534793,322.45963,12.207461,5174.0,2.559999942779541,-2.1600000858306885,-0.18721011,1.8205235,1.1791971,322.459625,12.207434,NGC_7078_M_15,0.09877931641232567
L14091889731438,322.492791,12.15782,5410.0,3.200000047683716,-2.3399999141693115,-0.15662226,1.9189112,1.1525414,322.492778,12.157791,NGC_7078_M_15,0.11398444253522594
L14091889902980,322.5,12.17,5864.0,3.5299999713897705,-2.259999990463257,-0.14964934,1.9611962,1.118339,322.499748,12.16992,NGC_7078_M_15,0.9324053233940458
L14091889985387,322.53859,12.226427,6401.0,3.2799999713897705,-2.549999952316284,-0.13625073,2.0331066,1.045331,322.538579,12.226402,NGC_7078_M_15,0.09796851471945271
L14091890328804,322.461758,12.191694,4643.0,1.7200000286102295,-2.359999895095825,-0.17924851,1.8363599,1.2045763,322.461764,12.191685,NGC_7078_M_15,0.038671853362318376
L14091891615468,322.528809,12.14849,5727.0,4.190000057220459,-2.1600000858306885,-0.17356288,1.8851699,1.1585915,322.528884,12.148592,NGC_7078_M_15,0.4522247817672954
L14091902360952,322.46468,12.108109,6427.0,3.640000104904175,-2.700000047683716,-0.13517597,2.048065,1.0227141,322.464673,12.108081,NGC_7078_M_15,0.10376771936008417
L14147777131456,322.59472,12.299895,4732.0,1.7400000095367432,-2.109999895095825,-0.16726117,1.8416511,1.1775079,322.594637,12.29988,NGC_7078_M_15,0.2968934954354062
G12723468900714,323.165543,-0.9531907,5996.0,4.579999923706055,-1.5299999713897705,-0.17692244,1.8637491,1.1287419,323.165566,-0.953278,NGC_7089_M_2,0.32500132451986224
G12723469972816,323.162755,-0.841593,6070.0,3.880000114440918,-2.200000047683716,-0.14975071,1.9785465,1.0925353,323.162768,-0.841611,NGC_7089_M_2,0.07993001613550202
G12725553222486,323.315374,-0.941093,4707.0,1.309999942779541,-1.659999966621399,-0.18870245,1.7586793,1.171637,323.315357,-0.941105,NGC_7089_M_2,0.07490440311341348
G12725686848705,323.3637941,-0.7847472,6685.0,2.549999952316284,-2.140000104904175,-0.15513043,2.001726,1.0028876,323.363783,-0.78473,NGC_7089_M_2,0.07369252664036435
G13452705435396,346.6853075,12.7710075,6159.0,3.950000047683716,-1.8600000143051147,-0.19433537,1.8587855,1.1251249,346.685327,12.771014,Pal_13,0.07235184564246472
G13452705538508,346.673102,12.7829235,6389.0,3.7300000190734863,-2.049999952316284,-0.17312422,1.9337002,1.0685546,346.673111,12.782907,Pal_13,0.06728097085519497
G11616148765578,229.022501,-0.066089,5365.0,2.799999952316284,-2.880000114440918,-0.1513572,1.9483669,1.1618465,229.022427,-0.06624,Pal_5,0.6053675126604642
